,0
DAGK_hs_18_0_18_0,0.99978584
GLNLYSTRPr,0.4066417
4H3NPACAM_1,0.9925022
ETHAPT_PALM_PALM_c,0.5696737
HISt2r1,0.9997775
LPS16TVL,0.8891248
PLDAGAT_PALM_PALM_PALM_PC_5_c,0.00022682764
METASNTYRr,0.756112
PLDAGAT1819Z1819Z1819Z3,0.011035979
HDCECRNtr,0.8891248
LCAT54e,0.8891248
PLA2PE_PALM_HDE_c,0.9764811
PI4P5K_LM,0.99978584
DEDOLDPSAT,0.10812054
PVSGLUCtev,0.8891248
ACOADAGAT_DHA_EPA_HDTTE_c,0.0061601517
PLDAGAT_HDE_PALM_PALM_PE_15_c,0.8891248
BAMPPALDOX,0.9997738
TRNAUMT,0.169011
DEDOLP1_L,0.9998468
RHA140tpp,0.8891248
SHGO,0.9991709
PLDAGAT_PALM_EPA_EPA_PC_4_c,0.8891248
r1959,0.9989416
PLDAGAT_PALM_MYRS_PALM_PE_12_c,0.8891248
DAGK_DHA_HDE_c,0.99978584
ARGN_1,0.57673293
DHMPTR,0.9986222
GLUTARtex,0.8891248
RE2854C,0.6410301
AGLPACTF,5.9452625e-05
HMR_1037,0.013816672
OA11PL,0.13793443
MXMO,0.9997335
CITabc,0.99986756
HMR_0907,0.07089372
ETHAPT_LNA_OLE_c,0.28402746
PLDAGAT_LNA_EPA_LNA_PE_16_c,0.8891248
RE3435C,0.9997992
RFAC_HP,0.9998808
3M4HDXPAC,0.9996921
TAGAH1601819Z18111Z,0.9704148
ETCPC,0.8891248
PPTGS_TM,0.011744728
CDPDAGS18111Z160,0.9990747
RETH1,0.4933297
ACOADAGAT_HDE_PALM_LNA_c,0.0061601517
SUCBZT1,0.01614185
RE1530C,0.00525158
SMVACIDtev,0.8891248
PLDAGAT_PALM_EPA_ARA_PE_15_c,0.8891248
HMR_2611,0.5826546
LCARR,0.9994037
r1771,0.98082924
CDPDAGS_HDE_EPA_c,0.9990747
GPAM_hs_16_1,0.99703383
PCW3DS_MYRS_EPA_sn2_c,0.01152061
H4MPTGL_gtp,0.9887977
ARAB_Dt,0.9996687
TUNGSabcpp,0.9998461
CITt_kt,0.9998479
DCA3St,8.793114e-06
FEDCabc,0.99829024
UCPP,0.9999726
PLDAGAT_HDE_PALM_PALM_PE_12_c,0.8891248
ETHAt2pp,0.9996991
12TTACA,0.9986222
MGDGE181,0.8891248
RETABCtc,0.9998461
PLDPE_EPA_ARA_c,0.6768282
TSTSTERONESULT,0.00065017265
DESFVSteb,0.9998461
CHOPT_HDE_PALM_c,0.28402737
r0390,0.92811865
AK2LGCHOLt,0.8891248
AGPATCOA_PALM_DHA_c,0.016669072
MG3A,0.0152684115
RHACOAE100,0.9997453
ASPGLUr,0.99987483
LPS51TL,0.8891248
PGLYCt,0.8891248
DPHAPC120,0.006160149
PEDH203_HSPLA2,0.49332988
r1594,0.9936388
ARGPROMETr,0.9438784
GULNLtpp,0.99949396
LPS50TVL,0.8891248
PLDAGAT_LNA_EPA_LNA_PE_13_c,0.8891248
DHCRD1pf_18_0_24_0,0.9986222
RE2642C,0.99967766
HMR_1536,0.9997992
ALATHRabcpp,0.9998461
SMS7,0.8891248
A4GALTc,0.21337618
NKCC2t,0.00043953926
HMR_1970,0.9989588
PELPALM_HSABCt,0.9998461
NFDLAChc,0.9995771
PLDAGAT_OLE_HDE_HDE_PC_2_c,0.8891248
r0281,0.0074685034
ARTFR207,0.8891248
CLS,0.00043612524
PLDAGAT_PALM_EPA_GLNA_PE_14_c,0.8891248
C11695td,0.8891248
PLDAGAT_MYRS_EPA_ARA_PC_4_c,0.8891248
RE1266C,0.97150415
CDPDAGS_PALM_PALM_c,0.9997321
SALCHS4tex,0.99949396
DAGK_STC_DHA_c,0.99978584
WHHDCAte,0.8891248
ALR,0.99994695
HMR_0868,0.21337616
r1329,0.9996437
13M3HTDAHL,0.9993298
PAPSPHENST,0.00048411754
PLDAGAT_HDE_EPA_ARA_PC_7_c,0.8891248
PLDAGAT_MYRS_MYRS_HDE_PC_1_c,0.00017401157
TCFERCYT,0.002366841
CEPTE_16_0_18_3,0.28402752
PEPC,0.9998148
r1973,0.9969837
PLDAGAT_HDE_MYRS_GLNA_PE_14_c,0.8891248
BTNt3i_1,0.99852633
SR1_1,0.0077823107
PAPA_DHA_EPA_c,0.9995437
AIRCr,0.999062
r2309,2.6980926e-05
FASC182ACP,0.99981445
PLDAGAT_HDE_EPA_ARA_PE_10_c,0.8891248
CITt3pp,0.9998479
PSYTDECHe,0.8891248
LPEAT_EPA_MYRS_sn2_c,0.05035587
HMR_2267,0.9974874
2DHPACCOAH,0.99965143
RE3104C,0.9986222
PLDPC_PALM_STC_c,0.8872276
r2285,1.979886e-05
MGT183_6_9_12,0.8891248
ARABD,0.99953747
RE2859C,0.34664276
PCW3DS_OLE_ETA_sn2_c,0.0115206055
PLA2PE_EPA_MYRS_c,0.9939177
PLDAGAT_EPA_EPA_ARA_PE_14_c,0.8891248
RE2888C,6.45339e-05
PYK6,0.99643564
XOL27OHte,0.8891248
DGTSDS1839Z12Z15Z1845Z9Z12Z15Z2,0.9977155
CPL,0.8891248
RE3228C,0.9993298
VALLYSTYRt,0.99919206
GLCGLYCtex,0.8891248
SELCYSTS,0.9905884
LPS51TST,0.8891248
PHETRS,0.9644024
ALDD3C7_c,0.9996921
PHADPC40,0.4933297
PLDAGAT_PALM_ARA_PALM_PC_4_c,0.8891248
PLDAGAT_PALM_ARA_PALM_PE_13_c,0.8891248
DHCRD1,0.9986222
LCAT55e,0.8891248
r2070,0.0031195723
DHORDfum,0.99992275
SO4t4_3,0.9997458
PALMCL,0.9999554
HMR_0419,0.9998461
PLA2PC_OLE_MYRS_c,0.9939177
RE2533C,0.05442887
PAIL18111Z160t,0.9998461
SBO3tex,0.8891248
DKDID,0.9995771
STACHGALACT,0.1502963
ACGAL6PISO,0.9925022
SELCYSTGL,0.03988847
OXYLt5,0.99949396
ALR2x,0.9995807
PLDAGAT_MYRS_EPA_ARA_PC_5_c,0.8891248
8MDAM,0.99854565
POR3b,0.99104136
DHNANT,0.98824817
r0480,0.169011
LEUTA,0.99938405
RETHe,0.016532976
MHISOR,0.9961428
CLFORtex,0.42765096
GLCGLYCabcpp_syn,0.9998461
PIK3_18_0_18_1,0.99978584
RE3169C,0.9986222
GSHN,0.62392175
PLA2PE_STC_LNA_c,0.49333
ASNTYRGLYr,0.025743775
PLDAGAT_PALM_MYRS_PALM_PE_10_c,3.6307578e-05
DGDGGH_OLE_HDE_c,0.15029633
HMR_0890,0.21337622
PLIPA2G181d11pp,0.99639845
G3PACT,0.9820157
CELLex,0.8891248
PEDS1801845Z9Z12Z15Z,0.9977155
ARGTYRVALr,0.006693561
PCHOLN1836_HSt1e,0.8891248
NDH1_4pp,0.9930093
M3TT,0.9993298
PTPATe,3.514122e-05
r1730,0.8433055
MCMAT4,0.0011818446
ACOAD32f,0.7502988
DAGK_DHA_OLE_c,0.99978584
E4PP,0.99982965
r1911,0.7070189
ECOAH37,0.9993298
FDMO6_1,0.9265745
PLDAGAT_PALM_EPA_LNA_PC_1_c,0.8891248
DASCBR_1,0.5256519
HGLACPHL,0.9993298
r1897,0.35492244
I14BP1P,0.9998468
PIK4_18_0_18_3,0.99978584
RE0566C,0.9986222
PCHOLN224_HSt1e,0.8891248
NRPPHRt4_2_r,0.005683077
RTOT5_cho,0.8891248
OSKTpp,0.8891248
PHADPC80,0.4933297
PHAPC141,0.006160149
RADH3,0.9996921
ABAH,0.99226695
NAD_H2,0.999925
PHOA590um,0.8891248
PHADPC101,0.4933297
OMCPPCI2,0.8891248
ILETRPTYRt,0.99919206
HMR_0839,0.2840272
PLA2PC_EPA_PALM_c,0.992415
AGPAT1_18_0_18_2,0.0061601517
AIRC4,0.9992933
LPS62TL,0.8891248
PHBS_syn,0.006160149
PLDAGAT_HDE_ARA_ARA_PC_6_c,0.8891248
HMR_0321,0.9998461
SUCBZL_1,0.99996066
PAPA_MYRS_OLE_c,0.9995437
HMR_2114,0.8891248
RE3381C,0.633147
AGPATCOA_OLE_OLE_c,0.035553534
OA6_14LVL,0.0005879623
SMVACIDATPteb,0.9998461
PCPLC_16_0_18_1,0.4933297
ETHAPT_PALM_ARA_c,0.28402758
GCPN,0.9999385
GLNTHRNaEx,0.55020356
TRYPTAOX_1,0.9996037
NMNHYD_1,0.999918
r1758,0.9620925
HC00900t4,0.019755421
SO3ti,0.92818874
r1744,0.015516695
BTNt4i,0.9994424
CDIPTr_18_2_20_4,0.6716486
G3PAT2055Z8Z11Z14Z17Z_c,0.98856235
GALMAN4,0.27340028
