,predicted_scores,similarity_scores
CAT,0.9999590340000001,0.7559199049396162
PItpp,0.999950822,0.7071186210589921
ATPADT,0.999949148,0.6666666666666667
DADNC,0.9999461460000001,0.6666778294054577
ADNCYC,0.9999461460000001,0.577379272292593
H2CO3D,0.999939708,0.5962758083341213
NPH,0.9999392479999999,0.9805795392306513
BPNT_1,0.99993877,0.894454149035721
PGAM1_PhosHydro,0.999938746,0.6708406117767907
NADPHXD,0.9999376379999999,0.5134652647215721
NTPP2_1,0.9999373220000001,0.8944541490357183
ADK2_1,0.9999370480000002,0.8944541490357112
PDE1,0.99993686,0.7071600652965615
NADHXD,0.99993506,0.513465264721572
NADPHHS,0.9999349860000001,0.4757953221180482
NADPHHR,0.9999349860000001,0.4757953221180482
AP3AH,0.99993432,0.757577511994116
DNTP,0.99993432,0.757577511994116
G3PT,0.9999340680000002,0.6030309503627417
NADHHS,0.99993406,0.4999246401563089
NADHHR,0.99993406,0.4999246401563089
AMPDA,0.999931832,0.6455166796544389
AP4AH1,0.99993091,0.757577511994116
PPK2,0.99993064,1.0
AP4AS,0.9999304400000002,0.676107392136233
PPItex,0.9999302560000001,0.6620874443688223
NI2tpp,0.9999298879999999,0.5773502691896257
FRD,0.999928566,1.0
CDPPH,0.9999270960000001,0.67610739213622
AP4AH,0.999926872,0.7070854683455693
NADDPp_1,0.9999254699999998,0.7071600652965615
ANNAT,0.9999239120000001,0.9486880648599374
NADS1_1,0.99992109,0.9258400310994339
NADHPO,0.999920678,0.7216878364870323
ACS_1,0.999919512,0.9258400310994326
GTPH1,0.9999190880000001,0.8366492190442159
GLUN,0.999918672,0.6123724356957946
FADDP,0.9999177620000002,0.7575775119941128
AMPt6,0.9999167019999999,0.6620874443688223
G1PP,0.9999155479999999,0.6985006985010478
PDE5,0.9999141079999999,0.6708406117767859
MCD,0.9999129100000002,0.6859943405700353
NTPP8_1,0.9999127659999999,0.8944541490357184
GLUGLUr,0.9999127619999999,0.6123724356957946
PIt2rpp,0.9999126759999999,0.6708203932499369
FAO1,0.9999111900000001,0.9971206368703792
ACOAH,0.999910452,0.7303187544842769
G6PP,0.99991036,0.6985006985010478
AFAT,0.9999092559999999,0.9486880648599414
GTPHL,0.99990919,0.577379272292597
NH4OHDs,0.9999084899999999,0.6429065741665019
UREA,0.9999083040000001,0.8704002038040227
CYSCYSr,0.999908138,0.6123724356957946
SUCCACT,0.999906692,0.6666666666666667
UNK3,0.9999060099999999,0.5000083720541051
ALPHNH,0.99990583,0.8609528605263214
NTRIR2x,0.999904184,0.9263668143747701
FDH6,0.9999028280000001,0.8141258474997654
FMNAT_1,0.9999027600000001,0.8944541490357177
GLYTA,0.9999027400000001,0.5000083720541051
PUTA3,0.9999021780000001,0.8198851019151486
HAMR,0.9999015659999999,0.8198851019151485
NDP3,0.999901322,0.6761073921362228
DPCOAK_1,0.9999012539999999,0.8944541490357133
NAD_H2,0.999901036,0.7826473804062535
P5CD,0.9999009620000001,0.68042521036236
KAT1,0.999900544,0.6123724356957947
ACACT1r,0.999900544,0.6123724356957947
PPIuabcpp,0.9999001719999999,0.845146976727283
PPIabc,0.9999001719999999,0.845146976727283
CYTDK1_1,0.9998998420000001,0.8944541490357131
NH4t3pp,0.9998996740000001,0.7071067811865475
NH4tpp_1,0.9998996740000001,0.7071067811865475
NTP3e_1,0.9998993159999999,0.9128984431053538
AP5AH,0.999899242,0.757577511994116
P4AH,0.999899102,0.6761073921362254
ATPATF1,0.9998967220000001,0.47668296053965786
PPC,0.999896012,0.6324618859121685
GUAC,0.99989601,0.6708069172800015
PPS,0.9998953700000002,0.7227693060992886
DCTPD2,0.999891774,0.7070854683455923
G3PCT,0.999890032,0.5999758876363953
NADK1,0.99988951,0.5999758876363942
AACLAM,0.9998892420000001,0.6123724356957946
